# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2011.0.00097.S   149.97157666627172   2.0731684935110213   2013-06-11     56454.0            ""                        uid://A001/X74/X1d2       uid://A002/X3ddbb0/X2e3    3416.229308767874   
  2011.0.00097.S   150.3623272144322    2.137561897989486    2013-06-11     56454.0            ""                        uid://A001/X74/X1e2       uid://A002/X3ddbb0/X54     2921.213150853073   
  2011.0.00097.S   150.21976289661694   2.3294782213473013   2013-06-11     56454.0            ""                        uid://A001/X74/X1e0       uid://A002/X3dc0e7/X6ce    3733.9450226058752  
  2011.0.00097.S   149.95730374437022   2.222286367902703    2013-06-11     56454.0            ""                        uid://A001/X74/X1d6       uid://A002/X3ddbb0/Xc2     3283.132990098674   
  2011.0.00964.S   150.08793750250462   2.5876805571215087   2013-08-06     56510.0            ""                        uid://A001/X74/Xd2        uid://A002/X3e007f/X1f8    28.872948290727205  
  2011.0.00064.S   150.08793750250464   2.5876805571215087   2013-08-06     56510.0            ""                        uid://A001/X74/Xd9        uid://A002/X3cb0a0/X56e    28.87317043822404   
  2011.0.00097.S   150.48426034529098   2.2763676727866295   2013-11-16     56612.0            ""                        uid://A001/X74/X1d4       uid://A002/X52f1e2/X7a9    3163.4324632999487  
  2011.0.00097.S   149.72443519121416   2.4164626490112893   2013-11-16     56612.0            ""                        uid://A001/X74/X1d4       uid://A002/X52f1e2/X7a9    2452.739142493948   
  2011.0.00097.S   150.00345546126619   2.1187416188623094   2013-11-16     56612.0            ""                        uid://A001/X74/X1de       uid://A002/X532128/X56a    2270.0686205659476  
  2011.0.00097.S   150.41347705340468   2.1108147171978073   2013-11-16     56612.0            ""                        uid://A001/X74/X1d8       uid://A002/X52f1e2/X6cd    2294.104036027948   
  2011.0.00097.S   149.56051691766265   2.3513343692009525   2013-11-21     56617.0            ""                        uid://A001/X74/X1da       uid://A002/X51ac2a/Xb0f    3677.176761235947   
  2011.0.00097.S   149.80444458700632   2.384311960333476    2013-11-21     56617.0            ""                        uid://A001/X74/X1dc       uid://A002/X517008/X617    3016.1773300099485  
  2011.0.00097.S   150.55626118221815   2.013110240196542    2013-11-21     56617.0            ""                        uid://A002/X303d22/X6     uid://A002/X517008/X438    3489.117022189949   
  2011.0.00539.S   150.43483333333333   2.9523944444444443   2013-12-03     56629.0            ""                        uid://A002/X391d0b/X171   uid://A002/X535168/Xa18    18.367634769786847  
  2011.0.00539.S   150.23775            2.3361944444444442   2013-12-03     56629.0            ""                        uid://A002/X391d0b/X171   uid://A002/X535168/Xa18    18.367634769786847  
  2011.0.00742.S   150.158092           2.1395555555555554   2014-02-11     56699.0            ""                        uid://A001/X74/X1c6       uid://A002/X569422/X50d    9.381545530141459   
  2011.0.00064.S   150.08793750250462   2.5876805571215087   2014-02-20     56708.0            ""                        uid://A001/X74/Xd7        uid://A002/X55186e/X64     28.870530846757465  
  2012.1.00323.S   150.200089           2.0186510000000024   2015-01-13     57035.0            uid://A002/X67ccb6/Xf     uid://A002/X67ccb6/X10    uid://A002/X7776f1/X1ba9   59.430837227333754  
  2012.1.00323.S   150.760406           1.70192              2015-01-13     57035.0            uid://A002/X67ccb6/Xf     uid://A002/X67ccb6/X10    uid://A002/X7776f1/X1ba9   59.430837227333754  
  2012.1.00919.S   149.91791666666668   1.855833333333333    2015-01-28     57050.0            uid://A002/X609170/X27    uid://A002/X609170/X28    uid://A002/X7776f1/X1cc7   69.09612767120838   
  2012.1.00076.S   149.7937             2.105028888888889    2015-02-05     57058.0            uid://A002/X5ce05d/X50    uid://A002/X5ce05d/X51    uid://A002/X77da97/X122d   28.208784210604026  
  2012.1.00076.S   149.72145            2.6050180555555555   2015-02-05     57058.0            uid://A002/X5ce05d/X50    uid://A002/X5ce05d/X51    uid://A002/X77da97/X122d   28.208784210604026  
  2012.1.00076.S   150.41289166666667   2.279095             2015-02-11     57064.0            uid://A002/X5ce05d/X44    uid://A002/X5ce05d/X45    uid://A002/X78774a/Xb17    24.693079391671574  
  2012.1.00076.S   150.0221416666667    2.026533888888889    2015-02-11     57064.0            uid://A002/X5ce05d/X44    uid://A002/X5ce05d/X45    uid://A002/X78774a/Xb17    24.693079391671574  
  2012.1.00076.S   150.15142916666667   1.9359869444444446   2015-02-11     57064.0            uid://A002/X5ce05d/X44    uid://A002/X5ce05d/X45    uid://A002/X78774a/Xb17    24.693079391671574  
  2012.1.00076.S   150.59732083333333   2.4451980555555557   2015-02-11     57064.0            uid://A002/X5ce05d/X48    uid://A002/X5ce05d/X49    uid://A002/X773c52/X2b1    25.920048209946096  
  2012.1.00076.S   150.41145833333334   2.3574580555555555   2015-02-11     57064.0            uid://A002/X5ce05d/X48    uid://A002/X5ce05d/X49    uid://A002/X773c52/X2b1    25.920048209946096  
  2012.1.00076.S   150.14837083333333   1.7507311111111112   2015-02-11     57064.0            uid://A002/X5ce05d/X44    uid://A002/X5ce05d/X45    uid://A002/X78774a/Xb17    24.693079391671574  
  2012.1.00076.S   149.85702083333334   2.6027230555555554   2015-02-11     57064.0            uid://A002/X5ce05d/X48    uid://A002/X5ce05d/X49    uid://A002/X773c52/X2b1    25.920048209946096  
  2012.1.00076.S   149.7685             1.8034130555555559   2015-02-11     57064.0            uid://A002/X5ce05d/X48    uid://A002/X5ce05d/X49    uid://A002/X773c52/X2b1    25.920048209946096  
