Project code,Source name,RA,Dec,Galactic longitude,Galactic latitude,Band,Spatial resolution,Frequency resolution,Array,Mosaic,Integration,Release date,Frequency support,Velocity resolution,Pol products,Observation date,PI name,SB name,Proposal authors,Line sensitivity (10 km/s),Continuum sensitivity,PWV,Group ous id,Member ous id,Asdm uid,Project title,Project type,Scan intent,Field of view,Largest angular scale,QA2 Status,COUNT,Science keyword,Scientific category,ASA_PROJECT_CODE
2011.0.00097.S,COSMOSLowz_64,149.97157666627172,2.073168493511021,236.8520692204685,41.92404957330019,7,0.50179997543570098,31250.0,12m,mosaic,70.56,2013-06-11,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068521958,XX YY,2012-04-22 01:53:02,"Scoville, Nick",COSMOSLowz_64,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",10.843755501306468,0.4134819627585202,0.7205127,,uid://A001/X74/X1d2,uid://A002/X3ddbb0/X2e3,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3416.229308767874,2.407464288623915,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOShighz_125,150.3623272144322,2.137561897989486,237.08730076577902,42.279191909996115,7,0.46828252445138158,31250.0,12m,mosaic,219.744,2013-06-11,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068521958,XX YY,2012-04-21 22:30:59,"Scoville, Nick",COSMOShighz_125highSB5,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",8.029932154561024,0.3075157848129549,1.3078749,,uid://A001/X74/X1e2,uid://A002/X3ddbb0/X54,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,2921.213150853073,2.0277312780827605,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOShighz_201,150.21976289661694,2.3294782213473013,236.7639861363384,42.274645150343005,7,0.54005825857509815,31250.0,12m,mosaic,219.744,2013-06-11,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068521958,XX YY,2012-04-21 02:07:53,"Scoville, Nick",COSMOShighz_201highSB4,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",6.1495156761185985,0.23448886948276562,0.8232746,,uid://A001/X74/X1e0,uid://A002/X3dc0e7/X6ce,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3733.9450226058752,2.3744397107910187,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOSmedz_83,149.9573037443702,2.222286367902703,236.6772405359256,41.99896660123551,7,0.44113451566472467,31250.0,12m,mosaic,110.88,2013-06-11,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068521958,XX YY,2012-04-21 23:34:20,"Scoville, Nick",COSMOSmedz_medSB2,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",9.73636979103123,0.3720066052570722,1.191436,,uid://A001/X74/X1d6,uid://A002/X3ddbb0/Xc2,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3283.132990098674,1.915018466277163,Y,5,,,2011.0.00097.S
2011.0.00064.S,AzTEC-3,150.0879375025046,2.5876805571215087,236.37727826745555,42.31696631529013,7,0.50786410467714282,976.5625,12m,mosaic,4830.243,2013-08-06,"[288.92..290.81GHz,976.56kHz, XX YY] U [290.76..292.64GHz,976.56kHz, XX YY] U [300.80..302.68GHz,976.56kHz, XX YY] U [302.67..304.56GHz,976.56kHz, XX YY]",961.2900365751091,XX YY,2012-04-11 01:00:07,"Riechers, Dominik",AzTEC-3-extended,"Scoville, Nick; Capak, Peter; Bertoldi, Frank; Yun, Min; Cox, Pierre; Yan, Lin; carilli, Chris; Smolcic, Vernesa; Schinnerer, Eva;",1.157103403235313,0.04491948176352661,1.0997306,,uid://A001/X74/Xd9,uid://A002/X3cb0a0/X56e,Clustered Massive Galaxy Formation around a z=5.3 Submillimeter Galaxy,S,TARGET,28.87317043822404,3.6112815387772472,Y,3,,,2011.0.00064.S
2011.0.00964.S,AzTEC-3,150.08793750250462,2.5876805571215087,236.37727826745555,42.31696631529013,7,1.3556963661679635,976.5625,12m,mosaic,927.407,2013-08-06,"[288.93..290.80GHz,976.56kHz, XX YY] U [290.76..292.63GHz,976.56kHz, XX YY] U [300.80..302.68GHz,976.56kHz, XX YY] U [302.68..304.55GHz,976.56kHz, XX YY]",961.3018324052402,XX YY,2012-04-23 03:47:05,"Riechers, Dominik",AzTEC-3-extended,"Scoville, Nick; Capak, Peter; Bertoldi, Frank; Yun, Min; Cox, Pierre; Yan, Lin; carilli, Chris; Smolcic, Vernesa; Schinnerer, Eva;",3.462156655369762,0.1355509695811504,1.912831,,uid://A001/X74/Xd2,uid://A002/X3e007f/X1f8,Clustered Massive Galaxy Formation around a z=5.3 Submillimeter Galaxy,S,TARGET,28.872948290727205,5.34431838056875,Y,1,,,2011.0.00964.S
2011.0.00097.S,COSMOS_lowz_64,150.48426034529098,2.27636767278663,237.030969933981,42.45911837897196,7,0.4995679988764079,31250.0,12m,mosaic,70.56,2013-11-16,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-11-02 10:28:19,"Scoville, Nick",COSMOS_lowz_64-S2,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",6.954318655580354,0.2647309986038237,0.45383802,,uid://A001/X74/X1d4,uid://A002/X52f1e2/X7a9,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3163.4324632999487,2.2795000579021973,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOS_medz_107,149.72443519121413,2.4164626490112893,236.28343332665364,41.921037728964755,7,0.50030331063347422,31250.0,12m,mosaic,133.056,2013-11-16,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-11-02 10:28:19,"Scoville, Nick",COSMOS_lowz_64-S2,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",5.066036278426346,0.19285035076306484,0.45383802,,uid://A001/X74/X1d4,uid://A002/X52f1e2/X7a9,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,2452.739142493948,2.2509000336931435,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOShighz_113,150.00345546126619,2.1187416188623094,236.82704723864845,41.97670597872495,7,0.51778806660833143,31250.0,12m,mosaic,219.744,2013-11-16,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-11-03 11:50:32,"Scoville, Nick",COSMOShighz_113highSB3,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",4.515968793458639,0.17190914957757628,0.5652062,,uid://A001/X74/X1de,uid://A002/X532128/X56a,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,2270.0686205659476,2.3352738561679973,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOSmedz_102,150.41347705340465,2.110814717197807,237.1575512564551,42.30530824796568,7,0.55102603147233598,31250.0,12m,mosaic,110.88,2013-11-16,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-11-02 09:05:58,"Scoville, Nick",COSMOSmedz_medSB3,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",5.54535640921064,0.21109474212682044,0.5060212,,uid://A001/X74/X1d8,uid://A002/X52f1e2/X6cd,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,2294.104036027948,2.5941857441003373,Y,5,,,2011.0.00097.S
