#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2                       OBS_DATE     image_file
# 
    2011.0.00064.S    1    1    1                   AzTEC-3     0.0801213      0.701706      0.484146      -58.2305       1010.17   150.0879338     2.5876775   150.0879490     2.5876622    41.470    38.390       378       350   0.10971   0.10969     2012-04-22T22:59:09.648000     2011.0.00064.S_SB1_GB1_MB1_AzTEC-3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00064.S    1    1    2                   AzTEC-3     0.0871184      0.774488      0.696328      -22.5006       1010.24   150.0879338     2.5876775   150.0879490     2.5876622    41.470    38.390       378       350   0.10971   0.10969     2012-11-17T13:34:48.528000     2011.0.00064.S_SB1_GB1_MB2_AzTEC-3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field2      0.186036      0.637837      0.514657       33.3198       876.714   149.4926167     2.8039400   149.4926306     2.8039261   102.299   102.301      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field2_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field3      0.175787        0.6287      0.514187       32.1289       876.714   149.5098603     2.1024290   149.5098742     2.1024151   102.300   102.300      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field4      0.180226      0.622352      0.511787       30.8647       876.714   149.5146644     2.4844533   149.5146783     2.4844394   102.299   102.301      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field4_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field5      0.178684      0.620295      0.510062       30.1107       876.714   149.5631156     2.5443141   149.5631295     2.5443002   102.299   102.301      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field6      0.175157      0.610352      0.508379       27.9851       876.714   149.5978288     1.7876197   149.5978427     1.7876058   102.300   102.300      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field7      0.172113      0.609582      0.505899       26.4565       876.714   149.6126429     2.2637692   149.6126568     2.2637553   102.300   102.301      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field8       0.17416      0.606747      0.505343       23.9452       876.714   149.6328897     2.4728153   149.6329036     2.4728014   102.299   102.301      1024      1024   0.09990   0.09990     2012-10-22T10:32:19.056000     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1           COSMOS7_field10      0.283441      0.920686      0.377594      -66.8649       876.714   150.2862291     1.7411609   150.2862430     1.7411470   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T02:08:09.504000     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1           COSMOS7_field11      0.282668      0.937625       0.37719      -66.4141       876.714   150.3069276     2.4550002   150.3069415     2.4549863   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T02:08:09.504000     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field5       0.26206      0.851717      0.382917      -67.5631       876.714   150.1151500     2.0178369   150.1151639     2.0178231   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T02:08:09.504000     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field6      0.283063      0.858913      0.382108      -66.9844       876.714   150.1613938     2.2349968   150.1614077     2.2349829   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T02:08:09.504000     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field6_sci.spw0_1_2_3.cont.I.image.fits
