#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2     image_file
#                                                                     mJy        arcsec        arcsec        degree            um                                                            arcsec    arcsec                                                       
    2011.0.00064.S    1    1    1                   AzTEC-3     0.0713309      0.588128      0.447893      -60.6509       1010.17   150.0879338     2.5876775   150.0879490     2.5876622    41.470    38.390       378       350   0.10971   0.10969     2011.0.00064.S_SB1_GB1_MB1_AzTEC-3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00064.S    1    1    2                   AzTEC-3     0.0864123      0.775023      0.696774      -22.4431       1010.24   150.0879338     2.5876775   150.0879490     2.5876622    41.470    38.390       378       350   0.10971   0.10969     2011.0.00064.S_SB1_GB1_MB2_AzTEC-3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field2        0.2029      0.554572      0.475589        36.195       876.763   149.4926167     2.8039400   149.4926306     2.8039261   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field2_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field3       0.19035      0.549304      0.475907       38.0031       876.763   149.5098603     2.1024290   149.5098742     2.1024151   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field3_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field4      0.193369      0.549681      0.470554       33.8856       876.763   149.5146644     2.4844533   149.5146783     2.4844394   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field4_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field5      0.194114       0.54749      0.471197       32.7149       876.763   149.5631156     2.5443141   149.5631295     2.5443002   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field6      0.187973      0.532605      0.475728       32.9484       876.763   149.5978288     1.7876197   149.5978427     1.7876058   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field7      0.184421      0.531047      0.472518       30.4109       876.763   149.6126429     2.2637692   149.6126568     2.2637553   102.300   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1   10            COSMOS6_field8      0.190332      0.531494      0.471492       25.3948       876.763   149.6328897     2.4728153   149.6329036     2.4728014   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB10_COSMOS6_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1           COSMOS7_field10      0.303491      0.826593      0.340374      -66.3829       876.614   150.2862291     1.7411609   150.2862430     1.7411470   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1           COSMOS7_field11      0.297714      0.847106      0.341324      -65.0972       876.614   150.3069276     2.4550002   150.3069415     2.4549863   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field5      0.271189      0.768628      0.345364      -67.1035       876.614   150.1151500     2.0178369   150.1151639     2.0178231   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field6      0.274064       0.77695      0.342359      -66.9002       876.614   150.1613938     2.2349968   150.1614077     2.2349829   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field7      0.280007      0.795705      0.342517        -66.43       876.614   150.2149251     2.5595942   150.2149390     2.5595803   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field8      0.290798      0.809466      0.345997      -66.3219       876.614   150.2177023     2.7732502   150.2177162     2.7732363   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    1            COSMOS7_field9      0.307169      0.819179      0.341487       -65.785       876.614   150.2360123     2.5245084   150.2360262     2.5244945   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB1_COSMOS7_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field10      0.344442      0.564011      0.377848      -56.1479       876.614   149.7941733     1.7293652   149.7941871     1.7293513   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field11      0.365428      0.571272      0.381506      -55.9956       876.614   149.8057852     2.2894529   149.8057991     2.2894391   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field12      0.364544      0.581157      0.376079      -56.3558       876.614   149.8423972     2.3006074   149.8424111     2.3005935   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field13      0.359332      0.572448      0.382293      -56.3833       876.614   149.8611528     1.8387302   149.8611667     1.8387163   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field14      0.365483      0.584402      0.374887      -57.0392       876.614   149.8635354     1.7764048   149.8635493     1.7763909   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field15      0.357523      0.575876      0.379415      -56.9395       876.614   149.9208477     2.0312590   149.9208616     2.0312451   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field16      0.352368      0.577022      0.379735      -56.2522       876.614   150.0033122     1.9172978   150.0033261     1.9172839   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field17      0.378064      0.598003      0.377227      -56.9172       876.614   150.0049270     2.5036208   150.0049409     2.5036069   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field18      0.351548      0.591888      0.376018      -58.0452       876.614   150.0070097     1.7208376   150.0070235     1.7208237   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field19      0.379348      0.594714      0.381954      -56.2067       876.614   150.0293789     1.9969834   150.0293928     1.9969695   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field19_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field20      0.348178      0.595622      0.379122      -57.6145       876.614   150.0295175     1.7374703   150.0295314     1.7374564   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field20_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field21      0.375694      0.607464      0.374323      -57.5654       876.614   150.0942666     2.1393881   150.0942805     2.1393742   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field21_sci.spw0_1_2_3.cont.I.image.fits
